station_code;date;DDVEC;FHVEC
330;2020-01-01T00:00:00.000Z;173;5.1
330;2020-01-02T00:00:00.000Z;188;7.6
330;2020-01-03T00:00:00.000Z;261;6.1
330;2020-01-04T00:00:00.000Z;285;8.9
330;2020-01-05T00:00:00.000Z;228;5.1
330;2020-01-06T00:00:00.000Z;199;7.1
330;2020-01-07T00:00:00.000Z;205;7.6
330;2020-01-08T00:00:00.000Z;221;6.8
330;2020-01-09T00:00:00.000Z;193;8.9
330;2020-01-10T00:00:00.000Z;301;4.8
330;2020-01-11T00:00:00.000Z;200;9.4
330;2020-01-12T00:00:00.000Z;217;9.3
330;2020-01-13T00:00:00.000Z;185;9.5
330;2020-01-14T00:00:00.000Z;196;12.6
330;2020-01-15T00:00:00.000Z;205;10.4
330;2020-01-16T00:00:00.000Z;170;8.2
330;2020-01-17T00:00:00.000Z;216;8.0
330;2020-01-18T00:00:00.000Z;291;7.2
330;2020-01-19T00:00:00.000Z;360;7.9
330;2020-01-20T00:00:00.000Z;220;2.4
330;2020-01-21T00:00:00.000Z;194;4.6
330;2020-01-22T00:00:00.000Z;213;2.5
330;2020-01-23T00:00:00.000Z;131;1.8
330;2020-01-24T00:00:00.000Z;187;4.8
330;2020-01-25T00:00:00.000Z;169;5.8
330;2020-01-26T00:00:00.000Z;176;7.2
330;2020-01-27T00:00:00.000Z;198;7.5
330;2020-01-28T00:00:00.000Z;255;10.9
330;2020-01-29T00:00:00.000Z;261;11.0
330;2020-01-30T00:00:00.000Z;212;9.4
330;2020-01-31T00:00:00.000Z;218;10.7
330;2020-02-01T00:00:00.000Z;232;10.2
330;2020-02-02T00:00:00.000Z;230;8.4
330;2020-02-03T00:00:00.000Z;251;8.4
330;2020-02-04T00:00:00.000Z;305;11.2
330;2020-02-05T00:00:00.000Z;307;2.0
330;2020-02-06T00:00:00.000Z;259;2.3
330;2020-02-07T00:00:00.000Z;139;6.7
330;2020-02-08T00:00:00.000Z;192;6.8
330;2020-02-09T00:00:00.000Z;204;15.5
330;2020-02-10T00:00:00.000Z;254;14.8
330;2020-02-11T00:00:00.000Z;267;17.7
330;2020-02-12T00:00:00.000Z;260;11.3
330;2020-02-13T00:00:00.000Z;201;6.4
330;2020-02-14T00:00:00.000Z;241;4.2
330;2020-02-15T00:00:00.000Z;191;12.3
330;2020-02-16T00:00:00.000Z;210;13.3
330;2020-02-17T00:00:00.000Z;228;11.6
330;2020-02-18T00:00:00.000Z;239;11.0
330;2020-02-19T00:00:00.000Z;261;8.9
330;2020-02-20T00:00:00.000Z;233;9.5
330;2020-02-21T00:00:00.000Z;239;10.5
330;2020-02-22T00:00:00.000Z;224;12.5
330;2020-02-23T00:00:00.000Z;262;10.7
330;2020-02-24T00:00:00.000Z;221;9.2
330;2020-02-25T00:00:00.000Z;251;9.2
330;2020-02-26T00:00:00.000Z;296;10.7
330;2020-02-27T00:00:00.000Z;291;3.5
330;2020-02-28T00:00:00.000Z;201;7.5
330;2020-02-29T00:00:00.000Z;206;11.7
330;2020-03-01T00:00:00.000Z;210;10.6
330;2020-03-02T00:00:00.000Z;221;3.3
330;2020-03-03T00:00:00.000Z;229;5.5
330;2020-03-04T00:00:00.000Z;250;3.4
330;2020-03-05T00:00:00.000Z;71;7.1
330;2020-03-06T00:00:00.000Z;354;8.9
330;2020-03-07T00:00:00.000Z;225;6.2
330;2020-03-08T00:00:00.000Z;201;10.2
330;2020-03-09T00:00:00.000Z;237;7.6
330;2020-03-10T00:00:00.000Z;226;12.5
330;2020-03-11T00:00:00.000Z;230;9.2
