name;x;y;Height;ZoneNum;ZoneLet;Latitude;Longitude
A01;361468.99996932136;6154543.000289474;3.5;33;U;55.51727853096449;12.805880670499945
A02;361203.00004678755;6154243.999803822;3.5;33;U;55.514518290970706;12.801820818863764
A03;360936.0000064317;6153946.000047553;3.5;33;U;55.511766620977376;12.797745207215042
A04;360669.9999936166;6153647.999938815;3.5;33;U;55.50901510098439;12.79368598556591
A05;360404.00009092165;6153348.999812283;3.5;33;U;55.50625447099181;12.789627833910195
A06;360137.00004529895;6153051.000581171;3.5;33;U;55.503502410999715;12.785553922241823
A07;359871.0002602489;6152753.000803964;3.5;33;U;55.50075050100798;12.781496400573076
B01;361201.99975896144;6154695.000671437;3.5;33;U;55.51856756097722;12.801579158886074
B02;360936.0001807264;6154396.000246527;3.5;33;U;55.515807180983884;12.797519487243544
B03;360669.99969885196;6154098.000063655;3.5;33;U;55.51305565099095;12.793459865594569
B04;360403.99994139024;6153798.999844754;3.5;33;U;55.51029501099844;12.789401323939018
B05;360137.00014247675;6153501.000525701;3.5;33;U;55.507542941006385;12.785327022270804
B06;359870.99986143166;6153203.00068153;3.5;33;U;55.50479102101472;12.781269100602216
B07;359603.999843605;6152905.000607406;3.5;33;U;55.50203868102351;12.777195928920829
B08;359337.9997256453;6152606.000862052;3.5;33;U;55.49927752103266;12.773139647239017
C01;360936.00018928497;6154846.00081769;3.5;33;U;55.519847740990386;12.797293707272047
C02;360669.999875768;6154548.000540707;3.5;33;U;55.51709620099752;12.79323369562323
C03;360403.9998655459;6154250.000357465;3.5;33;U;55.51434453100507;12.789174253967902
C04;360136.9997079362;6153951.9998586;3.5;33;U;55.511592441013086;12.785099552299853
C05;359870.99995262513;6153653.00091141;3.5;33;U;55.508831541021436;12.781041750631363
C06;359604.00016970746;6153355.000754101;3.5;33;U;55.5060791910303;12.77696818895014
C07;359337.99994843884;6153056.999943437;3.5;33;U;55.50332699103953;12.772911007268556
C08;359071.0001201098;6152757.999998169;3.5;33;U;55.50056540104923;12.768839085574037
D01;360670.00003908103;6154999.000385348;3.5;33;U;55.5211457210041;12.79300696565196
D02;360404.0002494155;6154701.0001109205;3.5;33;U;55.5183940410117;12.78894713399679
D03;360137.0001507653;6154402.000528342;3.5;33;U;55.515632971019755;12.78487254232884
D04;359871.0002139355;6154104.000510647;3.5;33;U;55.51288103102821;12.780813840660572
D06;359338.00027011696;6153507.000380345;3.5;33;U;55.507367491046395;12.772682817298026
D07;359070.99990550464;6153209.000507685;3.5;33;U;55.50461487105616;12.768609985603737
D08;358804.99987837556;6152910.000813909;3.5;33;U;55.501853431066294;12.76455405390904
E01;360389.99997163896;6155136.000778915;3.5;33;U;55.522295891018764;12.78850642393837
E02;360137.000080638;6154853.000587511;3.5;33;U;55.519682471026464;12.784644962357891
E03;359870.99999856146;6154554.00037336;3.5;33;U;55.51692154103495;12.78058637068972
E04;359604.0001274836;6154256.000070615;3.5;33;U;55.51416917104391;12.77651201900882
E06;359070.99966241315;6153659.0001464905;3.5;33;U;55.50865535106308;12.768381335633368
E07;358804.99968843226;6153361.000507066;3.5;33;U;55.50590288107331;12.764324503938903
F02;359871.0000076232;6155005.000719067;3.5;33;U;55.52097103104169;12.78035834071893
F03;359604.0000275177;6154706.000222737;3.5;33;U;55.518209671050705;12.776284099038133
F04;359337.99967287143;6154408.000298748;3.5;33;U;55.51545745106011;12.772225737357035
F05;359070.9998278427;6154110.000270042;3.5;33;U;55.51270481107003;12.768152125663072
F06;358805.00008120586;6153811.000420705;3.5;33;U;55.50994335108028;12.764095413968706
G02;359604.0002227993;6155157.000858967;3.5;33;U;55.52225915105754;12.77605561906751
G03;359338.0002217077;6154858.000720958;3.5;33;U;55.51949794106699;12.771997377386509
G04;359070.99998665793;6154560.00063428;3.5;33;U;55.516745291076944;12.76792336569271
G05;358804.99969031947;6154262.00086083;3.5;33;U;55.51399280108729;12.76386574399857
H02;359337.99983824545;6155309.000556285;3.5;33;U;55.52354740107387;12.771768437416046
H03;359070.9999928309;6155010.000258463;3.5;33;U;55.520785761083864;12.76769454572235
H04;358804.99983246496;6154712.000407677;3.5;33;U;55.518033261094274;12.763636534028372
