name;x;y
001;602431.6834190796;5460193.152531429
002;602863.9326964748;5460068.892003877
003;603307.7505229414;5459988.25219532
004;603706.6893808034;5459857.870540238
005;604120.7940940887;5459734.476805122
006;604541.7089788517;5459560.088541255
007;604996.8085831731;5459502.038676944
008;602783.7774108495;5459453.543164872
009;603180.7227591731;5459353.110640446
010;603592.5173462653;5459276.33914002
011;604018.8499765617;5459200.9851927925
012;604475.8281848016;5459121.79795496
013;602344.1832250977;5459500.943684187



